Rk,Season,Age,Tm,Lg,MP,Player,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,FG%,2P%,3P%,eFG%,FT%,TS%
28,2018-19,22,PHI,NBA,34.2,Ben Simmons\simmobe01,79,79,6.8,12.2,6.8,12.1,0,0.1,3.3,5.4,2.2,6.6,8.8,7.7,1.4,0.8,3.5,2.6,16.9,0.563,0.566,0,0.563,0.6,0.582
29,2018-19,20,CLE,NBA,31.8,Collin Sexton\sextoco01,82,72,6.3,14.7,4.9,11.1,1.5,3.6,2.6,3.1,0.7,2.2,2.9,3,0.5,0.1,2.3,2.3,16.7,0.43,0.44,0.402,0.48,0.839,0.52
30,2018-19,25,MIA,NBA,34.8,Josh Richardson\richajo01,73,73,5.8,14.1,3.5,7.8,2.2,6.3,2.7,3.2,0.7,2.9,3.6,4.1,1.1,0.5,1.5,2.7,16.6,0.412,0.458,0.357,0.492,0.861,0.536
31,2018-19,30,HOU,NBA,31.7,Eric Gordon\gordoer01,68,53,5.6,13.8,2.5,5,3.2,8.8,1.8,2.2,0.3,1.9,2.2,1.9,0.6,0.4,1.3,2.1,16.2,0.409,0.497,0.36,0.525,0.783,0.549
32,2018-19,33,HOU,NBA,32,Chris Paul\paulch01,58,58,5.2,12.4,3,6.3,2.2,6.1,3,3.5,0.6,3.9,4.6,8.2,2,0.3,2.6,2.5,15.6,0.419,0.479,0.358,0.508,0.862,0.56
33,2018-19,26,ORL,NBA,31.5,Evan Fournier\fournev01,81,81,5.8,13.2,3.9,7.6,1.9,5.6,1.7,2.1,0.5,2.7,3.2,3.6,0.9,0.1,1.9,2.8,15.1,0.438,0.509,0.34,0.509,0.806,0.536
34,2018-19,32,TOR,NBA,34,Kyle Lowry\lowryky01,65,65,4.7,11.4,2.3,4.4,2.4,7,2.5,3,0.6,4.2,4.8,8.7,1.4,0.5,2.8,2.6,14.2,0.411,0.514,0.347,0.518,0.83,0.562
35,2018-19,27,BRK,NBA,30.2,Joe Harris\harrijo01,76,76,4.9,9.8,2.5,4.8,2.4,5.1,1.4,1.8,0.7,3.1,3.8,2.4,0.5,0.2,1.6,2.4,13.7,0.5,0.528,0.474,0.622,0.827,0.645
36,2018-19,32,TOT,NBA,30.3,Wesley Matthews\matthwe02,69,68,4,10.1,1.9,4.3,2.2,5.8,1.9,2.4,0.5,2,2.5,2.3,0.8,0.2,1.3,2.3,12.2,0.4,0.437,0.372,0.507,0.81,0.546
37,2018-19,30,MIN,NBA,30.1,Jeff Teague\teaguje01,42,41,4.2,9.9,3.4,7.4,0.8,2.5,2.9,3.6,0.4,2.1,2.5,8.2,1,0.4,2.3,2.1,12.1,0.423,0.453,0.333,0.465,0.804,0.528
38,2018-19,24,CHI,NBA,30.2,Kris Dunn\dunnkr01,46,44,4.7,11,3.9,8.9,0.7,2.1,1.2,1.5,0.4,3.7,4.1,6,1.5,0.5,2.3,3.6,11.3,0.425,0.441,0.354,0.458,0.797,0.484
39,2018-19,28,TOT,NBA,30.2,Avery Bradley\bradlav01,63,63,3.9,9.7,2.6,5.8,1.4,3.9,0.7,0.8,0.7,2.1,2.8,2.4,0.7,0.3,1.4,2.7,9.9,0.408,0.446,0.351,0.479,0.86,0.496
40,2018-19,21,LAL,NBA,30.3,Lonzo Ball\balllo01,47,45,3.9,9.7,2.3,4.9,1.6,4.9,0.4,1,1.1,4.2,5.3,5.4,1.5,0.4,2.2,2.4,9.9,0.406,0.482,0.329,0.488,0.417,0.487
,,,,,,,67.8,66.5,6.9675,15.575,4.785,9.5825,2.19,5.99,3.3425,4.135,0.7725,3.83,4.5925,5.285,1.1575,0.4075,2.4875,2.3425,19.4725,0.446875,0.4967,0.34955,0.517425,0.803425,0.5575
