Rk▲,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
52,Southern California,Pac-12,,,21,9,70.8,66.5,4.37,,7.26,,4.37,7.26,11.63,105.66,87.84,17.82
53,Arizona State,Pac-12,,,19,10,73.2,69.7,3.52,,8.09,,7.34,4.27,11.61,105.48,88.61,16.87
54,North Carolina State,ACC,,,18,11,74.6,69.7,4.86,,6.64,,7.83,3.68,11.51,110.52,93.27,17.25
55,Oklahoma State,Big 12,,,15,14,66.9,66.3,0.66,,10.70,,3.23,8.12,11.35,106.55,89.24,17.30
56,Tennessee,SEC,,,16,13,66.7,63.2,3.55,,7.79,,-0.03,11.37,11.34,106.29,89.05,17.24
57,Texas,Big 12,,,18,11,64.8,63.1,1.66,,9.48,,0.35,10.78,11.14,105.29,87.82,17.47
58,Georgetown,Big East,,,15,14,75.2,73.4,1.86,,9.14,,9.19,1.81,11.00,111.74,95.26,16.48
59,Connecticut,AAC,,,17,12,72.4,66.6,5.86,,5.10,,5.79,5.17,10.96,107.58,90.37,17.21
60,Clemson,ACC,,,15,13,66.9,63.9,3.00,,7.89,,0.80,10.09,10.89,105.68,88.95,16.73
61,Northern Iowa,MVC,,,25,5,75.8,64.3,11.50,,1.45,,5.81,5.07,10.88,113.05,95.18,17.87
62,St. John's (NY),Big East,,,15,14,74.8,71.2,3.59,,7.13,,8.41,2.30,10.71,105.94,90.47,15.47
63,Richmond,A-10,,,22,7,75.2,67.1,8.17,,2.53,,6.11,4.59,10.70,109.72,92.71,17.01
64,Notre Dame,ACC,,,18,11,74.5,69.3,5.21,,5.27,,6.84,3.64,10.48,111.16,94.95,16.21
65,South Carolina,SEC,,,17,12,73.0,69.0,4.00,,6.35,,7.39,2.96,10.35,105.64,89.79,15.85
66,Virginia Commonwealth,A-10,,,18,11,70.7,64.3,6.41,,3.87,,3.30,6.98,10.28,105.46,89.40,16.06
67,Rhode Island,A-10,,,20,8,74.3,68.5,5.71,,4.42,,6.19,3.95,10.13,105.70,90.03,15.67
68,Georgia Tech,ACC,,,15,14,68.6,66.9,1.66,,9.29,,2.31,7.69,10.00,102.68,87.25,15.43
