Aaron Henry,SO,2019-20,F,Michigan State,Big Ten,28,810,102,233,73,149,29,84,43,60,27,99,126,80,23,15,61,45,276,28.9,3.6,8.3,2.6,5.3,1.0,3.0,1.5,2.1,1.0,3.5,4.5,2.9,0.8,0.5,2.2,1.6,9.9
Rocket Watts,FR,2019-20,G,Michigan State,Big Ten,25,535,80,206,52,105,28,101,19,25,4,50,54,44,13,0,36,42,207,21.4,3.2,8.2,2.1,4.2,1.1,4.0,0.8,1.0,0.2,2.0,2.2,1.8,0.5,0.0,1.4,1.7,8.3
Gabe Brown,SO,2019-20,F,Michigan State,Big Ten,29,657,69,158,38,70,31,88,36,38,25,80,105,15,8,10,14,27,205,22.7,2.4,5.4,1.3,2.4,1.1,3.0,1.2,1.3,0.9,2.8,3.6,0.5,0.3,0.3,0.5,0.9,7.1
Jared Butler,SO,2019-20,G,Baylor,Big 12,28,837,156,369,82,178,74,191,56,73,12,75,87,90,44,4,65,66,442,29.9,5.6,13.2,2.9,6.4,2.6,6.8,2.0,2.6,0.4,2.7,3.1,3.2,1.6,0.1,2.3,2.4,15.8
MaCio Teague,JR,2019-20,G,Baylor,Big 12,26,841,111,276,53,118,58,158,86,102,27,97,124,50,25,5,32,31,366,32.3,4.3,10.6,2.0,4.5,2.2,6.1,3.3,3.9,1.0,3.7,4.8,1.9,1.0,0.2,1.2,1.2,14.1
Freddie Gillespie,SR,2019-20,F,Baylor,Big 12,28,792,107,189,107,189,0,0,63,91,113,142,255,13,30,62,25,76,277,28.3,3.8,6.8,3.8,6.8,0.0,0.0,2.3,3.3,4.0,5.1,9.1,0.5,1.1,2.2,0.9,2.7,9.9
Davion Mitchell,SO,2019-20,G,Baylor,Big 12,28,896,95,235,65,138,30,97,53,78,10,68,78,108,41,11,62,75,273,32.0,3.4,8.4,2.3,4.9,1.1,3.5,1.9,2.8,0.4,2.4,2.8,3.9,1.5,0.4,2.2,2.7,9.8
Devonte Bandoo,SR,2019-20,G,Baylor,Big 12,28,713,76,198,40,103,36,95,21,29,25,78,103,41,14,2,42,33,209,25.5,2.7,7.1,1.4,3.7,1.3,3.4,0.8,1.0,0.9,2.8,3.7,1.5,0.5,0.1,1.5,1.2,7.5
Mark Vital,JR,2019-20,G,Baylor,Big 12,28,724,70,151,68,134,2,17,27,62,80,89,169,49,49,17,38,73,169,25.9,2.5,5.4,2.4,4.8,0.1,0.6,1.0,2.2,2.9,3.2,6.0,1.8,1.8,0.6,1.4,2.6,6.0
Zeke Nnaji,FR,2019-20,F,Arizona,Pac-12,29,880,163,282,158,265,5,17,140,184,85,164,249,22,20,27,59,69,471,30.3,5.6,9.7,5.4,9.1,0.2,0.6,4.8,6.3,2.9,5.7,8.6,0.8,0.7,0.9,2.0,2.4,16.2
Nico Mannion,FR,2019-20,G,Arizona,Pac-12,29,922,129,330,83,185,46,145,95,117,8,67,75,155,32,0,75,52,399,31.8,4.4,11.4,2.9,6.4,1.6,5.0,3.3,4.0,0.3,2.3,2.6,5.3,1.1,0.0,2.6,1.8,13.8
Josh Green,FR,2019-20,G,Arizona,Pac-12,27,830,111,264,87,189,24,75,74,96,34,90,124,69,42,12,40,67,320,30.7,4.1,9.8,3.2,7.0,0.9,2.8,2.7,3.6,1.3,3.3,4.6,2.6,1.6,0.4,1.5,2.5,11.9
Dylan Smith,SR,2019-20,G,Arizona,Pac-12,29,757,78,213,30,78,48,135,36,51,13,75,88,39,20,14,44,63,240,26.1,2.7,7.3,1.0,2.7,1.7,4.7,1.2,1.8,0.4,2.6,3.0,1.3,0.7,0.5,1.5,2.2,8.3
Stone Gettings,SR,2019-20,F,Arizona,Pac-12,24,487,63,125,48,87,15,38,20,30,37,55,92,21,15,7,26,59,161,20.3,2.6,5.2,2.0,3.6,0.6,1.6,0.8,1.3,1.5,2.3,3.8,0.9,0.6,0.3,1.1,2.5,6.7
Kaleb Wesson,JR,2019-20,F,Ohio State,Big Ten,29,851,128,288,85,188,43,100,108,150,70,207,277,59,20,29,76,88,407,29.3,4.4,9.9,2.9,6.5,1.5,3.4,3.7,5.2,2.4,7.1,9.6,2.0,0.7,1.0,2.6,3.0,14.0
Duane Washington Jr.,SO,2019-20,G,Ohio State,Big Ten,26,633,100,244,48,114,52,130,44,54,5,65,70,39,10,2,33,29,296,24.3,3.8,9.4,1.8,4.4,2.0,5.0,1.7,2.1,0.2,2.5,2.7,1.5,0.4,0.1,1.3,1.1,11.4
Andre Wesson,SR,2019-20,F,Ohio State,Big Ten,27,824,84,179,41,82,43,97,39,49,33,73,106,51,9,12,39,69,250,30.5,3.1,6.6,1.5,3.0,1.6,3.6,1.4,1.8,1.2,2.7,3.9,1.9,0.3,0.4,1.4,2.6,9.3
